#CODE;RUSSIAN;x
IMMORTAL_AGE_TRIGGER;Возраст до бессмертия $COMPARISON$ $VALUE|Y$;x #В момент обретения бессмертия
armor_tier_4_guardian;Доспехи Ангела-Хранителя;x
armor_tier_4_champion;Доспехи Зелёного Рыцаря;x
armor_tier_4_warden;Доспехи Бессмертного;x
sword_tier_4_heartseeker_desc;Легендарный меч, который, как утверждают, способен пробиться сквозь прочную кожу дракона.;x
sword_tier_4_vengeance_desc;Легендарный меч, который, согласно преданию, был выкован в Небесной кузнице.;x
sword_tier_4_fury_desc;Говорят, этот легендарный меч был выкован в честь [smith_employer.GetReligionHighGodNameGEN].;x
scimitar_tier_4_golden_desc;Легендарная золотая сабля, напоминающая противнику о неизбежности смерти.;x
scimitar_tier_4_fortune_desc;Легендарный симитар. По слухам его клинок пропитан душами поверженных врагов и, если прислушаться, по ночам можно услышать отзвук их стонов, доносящийся от его лезвия.;x
scimitar_tier_4_conquest_desc;Легендарный симитар, по слухам содержащий в себе воплощённую силу самой смерти.;x
lance_tier_4_impaler_desc;Говорят, это воссозданный экземпляр легендарного копья Святого Георгия.;x
lance_tier_4_trident_desc;Кто-то говорит, что это оружие самого Дьявола, другие вспоминают своих богов, но все сходятся в одном: этот легендарный трезубец поистине смертоносен.;x
lance_tier_4_piercer_desc;Смерть наносит свой удар подобно этому легендарному копью. Ни одна броня его не остановит, и никому не увернуться от него.;x
axe_tier_4_cleaver_desc;Легендарная секира, вселяющая ужас в сердца врагов.;x
axe_tier_4_ravager_desc;Этот легендарный топор - воплощённая сила разрушения Вселенной.;x
axe_tier_4_marauder_desc;Название говорит само за себя. Этот легендарный топор воплощение самой смерти.;x
mace_tier_4_foe_hammer_desc;Эта легендарная двуручная булава быстро и эффектно уничтожит любого противника, независимо от его доспехов.;x
mace_tier_4_bone_breaker_desc;Этот легендарный боевой молот по слухам обладает мистической силой.;x
mace_tier_4_shatterer_desc;Эта легендарная двуручная булава поистине внушает ужас. По слухам, она способна одним ударом переломить кости великану.;x
bow_tier_4_silent_wind_desc;Этот легендарный лук столь же бесшумен и ужасен, как сама Смерть.;x
bow_tier_4_lightning_desc;Говорят, этот легендарный лук был создан в эпицентре великой бури и впитал её силу.;x
bow_tier_4_eagle_desc;Говорят, этот легендарный лук был изготовлен из костей орла, обладавшего мистической силой.;x
armor_tier_4_guardian_desc;Этот легендарный набор брони воистину надёжно защищает того, кто его носит, за что и получил своё имя.;x
armor_tier_4_champion_desc;Говорят, этот легендарный набор брони носил Зелёный Рыцарь из легенд о короле Артуре.;x
armor_tier_4_warden_desc;Согласно слухам ни один смертный не способен пробить эту легендарную броню.;x
EVTOPTA_MNM_40000_SWORD;Я назову этот меч "Убийца Драконов"!;x
EVTOPTA_MNM_40000_SCIMITAR;Неотвратимость!;x
EVTOPTA_MNM_40000_LANCE;Я назову его "Аскалон"!;x
EVTOPTA_MNM_40000_AXE;Рык Дракона! Достойное имя для топора.;x
EVTOPTA_MNM_40000_MACE;Черепокол!;x
EVTOPTA_MNM_40000_BOW;Этот лук будет известен как Дыхание Смерти.;x
EVTOPTA_MNM_40000_ARMOR;Я назову их Ангел-Хранитель.;x
EVTOPTB_MNM_40000_SWORD;Гнев Небес - прекрасное имя для меча.;x
EVTOPTB_MNM_40000_SCIMITAR;Симитар Ночи - неплохо звучит.;x
EVTOPTB_MNM_40000_LANCE;Кровавый трезубец!;x
EVTOPTB_MNM_40000_AXE;Я назову его "Пожиратель"!;x
EVTOPTB_MNM_40000_MACE;Я назову его "Сумеречный Молот";x
EVTOPTB_MNM_40000_BOW;Зов Бури - вот, как я его назову.;x
EVTOPTB_MNM_40000_ARMOR;"Доспехи Зелёного Рыцаря" - звучит неплохо.;x
EVTOPTC_MNM_40000_SWORD;Ярость [Root.GetReligionHighGodNameGEN]!;x
EVTOPTC_MNM_40000_SCIMITAR;Симитар Смерти.;x
EVTOPTC_MNM_40000_LANCE;Удар Смерти - отличное имя, не правда ли?;x
EVTOPTC_MNM_40000_AXE;Мрачный Жнец. Идеально подходит.;x
EVTOPTC_MNM_40000_MACE;Убийца Гигантов - прекрасное имя.;x
EVTOPTC_MNM_40000_BOW;Крик Орла - прекрасное имя для лука.;x
EVTOPTC_MNM_40000_ARMOR;"Доспехи Бессмертного".;x
crown_of_majesty_2;Корона Величия;x
emerald_scepter_2;Изумрудный скипетр;x
sword_of_heroes_2;Меч Героев;x
dagger_of_glory_2;Кинжал Славы;x
ruby_bracelets_2;Рубиновые браслеты;x
celestial_necklace_2;Небесное ожерелье;x
circlet_of_the_heavens_2;Небесный венец;x
staff_of_majesty_2;Посох Величия;x
crown_of_crows_2;Вороний венец;x
heros_crown_2;Корона Героя;x
axe_of_the_ancestors_2;Секира Предков;x
EVTDESC_MNM_40001;Сгорая от нетерпения узнать, что же мне покажет [From.GetFirstName], я с трудом сдерживал[Root.GetEndA] эмоции! Наконец [From.GetSheHe] сообщил[From.GetEndA], что украшения готовы, и я принял[Root.GetEndA] [From.GetHersHis] в [Root.GetRulersRoomPREP]. Слуги внесли поистине роскошный сундук и я чуть было не выскочил[Root.GetEndA] им навстречу. Дрожащими руками я приподнял[Root.GetEndA] крышку...;x
